"date","pi","Mercancías","Servicios","Vivienda","Agropecuarios","Energéticos y tarifas autorizadas por el gobierno"
1996-12-01,3.2,1.20108134336,1.25464788064,0.57775967104,0.34104586304,0.40322491264
1996-11-01,1.52,0.570513638096,0.595957743304,0.274435843744,0.161996784944,0.191531833504
1996-10-01,1.25,0.46917239975,0.490096828375,0.2256873715,0.13322104025,0.1575097315
1996-09-01,1.6,0.60054067168,0.62732394032,0.28887983552,0.17052293152,0.20161245632
1996-08-01,1.33,0.499199433334,0.521463025391,0.240131363276,0.141747186826,0.167590354316
1996-07-01,1.42,0.532979846116,0.556749997034,0.256380854024,0.151339101724,0.178931054984
1996-06-01,1.63,0.611800809274,0.639086264201,0.294296332436,0.173720236486,0.205392689876
1996-05-01,1.82,0.683115014036,0.713580982114,0.328600812904,0.193969834604,0.229334169064
1996-04-01,2.84,1.065959692232,1.113499994068,0.512761708048,0.302678203448,0.357862109968
1996-03-01,2.2,0.82574342356,0.86257041794,0.39720977384,0.23446903084,0.27721712744
1996-02-01,2.33,0.874537353134,0.913540488091,0.420681260476,0.248324019026,0.293598139516
1996-01-01,3.59,1.347463132082,1.407558091093,0.648174130948,0.382610827598,0.452367948868
1995-12-01,3.26,1.223601618548,1.278172528402,0.588592664872,0.347440472972,0.410785379752
1995-11-01,2.47,0.927084661906,0.968431332869,0.445958246084,0.263244775534,0.311239229444
1995-10-01,2.06,0.773196114788,0.807679573162,0.371932788232,0.219548274332,0.259576037512
1995-09-01,2.07,0.776949493986,0.811600347789,0.373738287204,0.220614042654,0.260836115364
1995-08-01,1.66,0.623060946868,0.650848588082,0.299712829352,0.176917541452,0.209172923432
1995-07-01,2.04,0.765689356392,0.799838023908,0.368321790288,0.217416737688,0.257055881808
1995-06-01,3.17,1.189821205766,1.242885556759,0.572343174124,0.337848558074,0.399444679084
1995-05-01,4.18,1.568912504764,1.638883794086,0.754698570296,0.445491158596,0.526712542136
1995-04-01,7.97,2.991443220806,3.124857377719,1.438982680684,0.849417352634,1.004282048044
1995-03-01,5.9,2.21449372682,2.31325702993,1.06524439348,0.62880330998,0.74344593268
1995-02-01,4.24,1.591432779952,1.662408441848,0.765531564128,0.451885768528,0.534273009248
1995-01-01,3.76,1.411270578448,1.474211259752,0.678867613472,0.400728889072,0.473789272352
1994-12-01,0.88,0.330297369424,0.345028167176,0.158883909536,0.093787612336,0.110886850976
1994-11-01,0.53,0.198929097494,0.207801055231,0.095691445516,0.056485721066,0.066784126156
1994-10-01,0.52,0.195175718296,0.203880280604,0.093885946544,0.055419952744,0.065524048304
1994-09-01,0.71,0.266489923058,0.278374998517,0.128190427012,0.075669550862,0.089465527492
1994-08-01,0.47,0.176408822306,0.184276407469,0.084858451684,0.050091111134,0.059223659044
1994-07-01,0.44,0.165148684712,0.172514083588,0.079441954768,0.046893806168,0.055443425488
1994-06-01,0.5,0.1876689599,0.19603873135,0.0902749486,0.0532884161,0.0630038926
1994-05-01,0.48,0.180162201504,0.188197182096,0.086663950656,0.051156879456,0.060483736896
1994-04-01,0.49,0.183915580702,0.192117956723,0.088469449628,0.052222647778,0.061743814748
1994-03-01,0.51,0.191422339098,0.199959505977,0.092080447572,0.054354184422,0.064263970452
1994-02-01,0.51,0.191422339098,0.199959505977,0.092080447572,0.054354184422,0.064263970452
1994-01-01,0.78,0.292763577444,0.305820420906,0.140828919816,0.083129929116,0.098286072456
1993-12-01,0.76,0.285256819048,0.297978871652,0.137217921872,0.080998392472,0.095765916752
1993-11-01,0.44,0.165148684712,0.172514083588,0.079441954768,0.046893806168,0.055443425488
1993-10-01,0.41,0.153888547118,0.160751759707,0.074025457852,0.043696501202,0.051663191932
1993-09-01,0.74,0.277750060652,0.290137322398,0.133606923928,0.078866855828,0.093245761048
1993-08-01,0.54,0.202682476692,0.211721829858,0.097496944488,0.057551489388,0.068044204008
1993-07-01,0.48,0.180162201504,0.188197182096,0.086663950656,0.051156879456,0.060483736896
1993-06-01,0.56,0.210189235088,0.219563379112,0.101107942432,0.059683026032,0.070564359712
1993-05-01,0.57,0.213942614286,0.223484153739,0.102913441404,0.060748794354,0.071824437564
1993-04-01,0.58,0.217695993484,0.227404928366,0.104718940376,0.061814562676,0.073084515416
1993-03-01,0.58,0.217695993484,0.227404928366,0.104718940376,0.061814562676,0.073084515416
1993-02-01,0.82,0.307777094236,0.321503519414,0.148050915704,0.087393002404,0.103326383864
1993-01-01,1.25,0.46917239975,0.490096828375,0.2256873715,0.13322104025,0.1575097315
1992-12-01,1.42,0.532979846116,0.556749997034,0.256380854024,0.151339101724,0.178931054984
1992-11-01,0.83,0.311530473434,0.325424294041,0.149856414676,0.088458770726,0.104586461716
1992-10-01,0.72,0.270243302256,0.282295773144,0.129995925984,0.076735319184,0.090725605344
1992-09-01,0.87,0.326543990226,0.341107392549,0.157078410564,0.092721844014,0.109626773124
1992-08-01,0.61,0.228956131078,0.239167252247,0.110135437292,0.065011867642,0.076864748972
1992-07-01,0.63,0.236462889474,0.247008801501,0.113746435236,0.067143404286,0.079384904676
1992-06-01,0.68,0.255229785464,0.266612674636,0.122773930096,0.072472245896,0.085685293936
1992-05-01,0.66,0.247723027068,0.258771125382,0.119162932152,0.070340709252,0.083165138232
1992-04-01,0.89,0.334050748622,0.348948941803,0.160689408508,0.094853380658,0.112146928828
1992-03-01,1.02,0.382844678196,0.399919011954,0.184160895144,0.108708368844,0.128527940904
1992-02-01,1.18,0.442898745364,0.462651405986,0.213048878696,0.125760661996,0.148689186536
1992-01-01,1.82,0.683115014036,0.713580982114,0.328600812904,0.193969834604,0.229334169064
1991-12-01,2.35,0.88204411153,0.921382037345,0.42429225842,0.25045555567,0.29611829522
1991-11-01,2.48,0.930838041104,0.972352107496,0.447763745056,0.264310543856,0.312499307296
1991-10-01,1.16,0.435391986968,0.454809856732,0.209437880752,0.123629125352,0.146169030832
1991-09-01,1,0.3753379198,0.3920774627,0.1805498972,0.1065768322,0.1260077852
1991-08-01,0.7,0.26273654386,0.27445422389,0.12638492804,0.07460378254,0.08820544964
1991-07-01,0.88,0.330297369424,0.345028167176,0.158883909536,0.093787612336,0.110886850976
