fecha,M1 (datos),M2 (datos),Log_M1,Log_M2,45_degree_line
2012-01-01,1977024819.0,4963954576.84,21.404858934925592,22.32546855373119,21.35286280970161
2012-02-01,1938067672.56,4967753450.37,21.38495726856695,22.32623355280383,21.362090948111206
2012-03-01,2025670843.14,5063813573.69,21.429166763206588,22.345385707068374,21.3713190865208
2012-04-01,1993418064.76,5027747964.92,21.41311662274211,22.338238000109374,21.380547224930393
2012-05-01,2024555007.15,5055211378.94,21.428615763800888,22.343685504358636,21.38977536333999
2012-06-01,2103633907.43,5100292843.34,21.46693211831263,22.352563795290955,21.399003501749583
2012-07-01,2045683289.55,5104114982.75,21.438997697552523,22.35331291070341,21.40823164015918
2012-08-01,2065560499.31,5123551112.11,21.448667454766717,22.357113612168728,21.417459778568773
2012-09-01,2076104427.92,5091448044.76,21.45375910345121,22.35082811521479,21.42668791697837
2012-10-01,2051920923.5,5187025103.55,21.44204222720635,22.369426172008996,21.435916055387963
2012-11-01,2134858979.56,5190395258.18,21.48166642971715,22.370075688869836,21.44514419379756
2012-12-01,2278174708.13,5306754530.68,21.54664039267853,22.39224628584641,21.454372332207154
2013-01-01,2173269542.75,5293968556.15,21.4994985722907,22.389834001207802,21.46360047061675
2013-02-01,2154134554.51,5297301365.86,21.490654881004446,22.39046335157741,21.472828609026344
2013-03-01,2174771786.6,5319918051.6,21.500189570280824,22.394723736346737,21.48205674743594
2013-04-01,2142217470.92,5285413685.63,21.485107330858597,22.38821672863193,21.491284885845534
2013-05-01,2171176313.68,5326721542.31,21.498534937663337,22.396001790624066,21.500513024255127
2013-06-01,2211663708.91,5469573182.35,21.5170108787187,22.422466421515054,21.509741162664724
2013-07-01,2207369360.9,5520228165.17,21.515067309030954,22.431685030651106,21.518969301074318
2013-08-01,2239638324.1,5554395123.7,21.52958022732154,22.437855365486346,21.528197439483915
2013-09-01,2245970277.9,5534930381.22,21.532403459826927,22.43434482510921,21.537425577893508
2013-10-01,2214060389.41,5600967123.89,21.518093947017146,22.44620512047111,21.546653716303105
2013-11-01,2344972158.49,5698579402.52,21.57553936606202,22.46348275309648,21.5558818547127
2013-12-01,2511368572.07,5872306248.22,21.644093689333168,22.493513280887072,21.565109993122295
2014-01-01,2453893754.64,5881668900.33,21.620941887530158,22.495106385172537,21.57433813153189
2014-02-01,2438087944.29,5859314859.71,21.61447993966417,22.49129851556165,21.583566269941485
2014-03-01,2445032397.04,5852057425.38,21.61732421010857,22.490059133005563,21.59279440835108
2014-04-01,2460979495.1,5967748670.91,21.623825276382384,22.509635586177925,21.602022546760672
2014-05-01,2489140490.94,5990793818.11,21.635203303471748,22.51348976418474,21.61125068517027
2014-06-01,2504596297.98,6060946402.78,21.641393400004798,22.525131796909953,21.620478823579862
2014-07-01,2531496077.44,6111404448.56,21.652076299872743,22.53342244436412,21.62970696198946
2014-08-01,2545089854.45,6123665718.47,21.657431792592835,22.535426727763763,21.638935100399053
2014-09-01,2556416712.16,6114631327.77,21.661872393099724,22.5339503144512,21.64816323880865
2014-10-01,2618525167.36,6163058348.86,21.685877083002914,22.541838976488386,21.657391377218243
2014-11-01,2711723106.42,6208067094.41,21.720850102409408,22.549115427502496,21.66661951562784
2014-12-01,2876506247.0,6356234193.58,21.77984228600175,22.572701931005643,21.675847654037433
2015-01-01,2887393058.55,6497554673.57,21.783619876108475,22.594691738999344,21.68507579244703
2015-02-01,2869132683.37,6483423543.22,21.777275620129664,22.592514532367293,21.694303930856623
2015-03-01,2884130823.56,6418897094.02,21.782489417184955,22.582512147681587,21.70353206926622
2015-04-01,2922876605.26,6476126231.09,21.795834107083515,22.591388364710497,21.712760207675814
2015-05-01,2941241424.77,6536224878.12,21.802097582496284,22.60062559998935,21.721988346085407
2015-06-01,2967522802.34,6537726406.15,21.810993368442166,22.600855297653652,21.731216484495004
2015-07-01,3023155177.7,6548994514.44,21.82956688377824,22.60257736556402,21.740444622904597
2015-08-01,3052866100.95,6551246163.17,21.839346691548688,22.602921122416674,21.749672761314194
2015-09-01,3056561053.01,6558231867.93,21.84055628204462,22.6039868712443,21.758900899723788
2015-10-01,3103509534.74,6614957229.47,21.855799416067168,22.61259916880384,21.768129038133385
2015-11-01,3129911043.12,6515031607.0,21.86427042036616,22.597377898931253,21.777357176542978
2015-12-01,3348743499.9,6761044534.7,21.931851037768578,22.634443232032222,21.786585314952575
2016-01-01,3296228415.42,6804560202.11,21.91604474738735,22.640858842322086,21.795813453362168
2016-02-01,3272357665.54,6771465678.32,21.90877656069701,22.63598339649779,21.805041591771765
2016-03-01,3301177620.57,6816853592.75,21.917545096479525,22.642663852310452,21.81426973018136
2016-04-01,3318515720.83,6879613016.02,21.92278344786915,22.651828239638192,21.823497868590955
2016-05-01,3381895447.01,6987906902.06,21.941702172400287,22.667446906585113,21.83272600700055
2016-06-01,3440349801.3,7119001193.24,21.95883898958642,22.686033270681563,21.841954145410142
2016-07-01,3456182318.39,7168971857.18,21.96343044066054,22.693028086182437,21.85118228381974
2016-08-01,3469969233.88,7116798712.91,21.96741156454887,22.685723842288063,21.860410422229332
2016-09-01,3488334774.98,7231920684.28,21.972690317452816,22.701770492647604,21.86963856063893
2016-10-01,3513857741.25,7269977359.85,21.97998034246839,22.707019014298545,21.878866699048523
2016-11-01,3650474084.96,7381047628.01,22.018122882396728,22.722181420499037,21.88809483745812
