fecha,dato
2020-01-24,18.83130
2020-01-27,18.94070
2020-01-28,18.80220
2020-01-29,18.70670
2020-01-30,18.78530
2020-01-31,18.90820
2020-02-04,18.67970
2020-02-05,18.62450
2020-02-06,18.66450
2020-02-07,18.77630
2020-02-10,18.76530
2020-02-11,18.67400
2020-02-12,18.63080
2020-02-13,18.64580
2020-02-14,18.57120
2020-02-17,18.57150
2020-02-18,18.59520
2020-02-19,18.59100
2020-02-20,18.79920
2020-02-21,18.91380
2020-02-24,19.11970
2020-02-25,19.08780
2020-02-26,19.15850
2020-02-27,19.39730
2020-02-28,19.77600
2020-03-02,19.69850
2020-03-03,19.28370
2020-03-04,19.53350
2020-03-05,19.80950
2020-03-06,20.16230
2020-03-09,21.11170
2020-03-10,21.02670
2020-03-11,21.21300
2020-03-12,22.15180
2020-03-13,21.92880
2020-03-17,23.05730
2020-03-18,23.90080
2020-03-19,24.08680
2020-03-20,24.11130
2020-03-23,25.07820
2020-03-24,25.11850
2020-03-25,24.29480
2020-03-26,23.09700
2020-03-27,23.51220
2020-03-30,24.28530
2020-03-31,23.48470
2020-04-01,24.49180
2020-04-02,24.10870
2020-04-03,24.69380
2020-04-06,24.68950
2020-04-07,24.03880
2020-04-08,24.09250
2020-04-13,23.74270
2020-04-14,23.56450
2020-04-15,24.11550
2020-04-16,24.20980
2020-04-17,23.90120
2020-04-20,24.00770
2020-04-21,24.42480
2020-04-22,24.58830
2020-04-23,24.62300
2020-04-24,24.85830
2020-04-27,24.84920
2020-04-28,24.38820
2020-04-29,24.00020
2020-04-30,23.92830
2020-05-04,24.38120
2020-05-05,23.83430
2020-05-06,24.29420
2020-05-07,24.05630
2020-05-08,23.68050
2020-05-11,23.86930
2020-05-12,24.04870
2020-05-13,24.21130
2020-05-14,24.27080
2020-05-15,23.95800
2020-05-18,23.60320
2020-05-19,23.60230
2020-05-20,23.29620
2020-05-21,22.96000
2020-05-22,22.79280
2020-05-25,22.56300
2020-05-26,22.29320
2020-05-27,22.36330
2020-05-28,22.20400
2020-05-29,22.17780
2020-06-01,22.01680
2020-06-02,21.68270
2020-06-03,21.60430
2020-06-04,21.83880
2020-06-05,21.58370
2020-06-08,21.65520
2020-06-09,21.72520
2020-06-10,21.92300
2020-06-11,22.42520
2020-06-12,22.33470
2020-06-15,22.54350
2020-06-16,22.21680
2020-06-17,22.27830
2020-06-18,22.60880
2020-06-19,22.63000
2020-06-22,22.44130
2020-06-23,22.41300
2020-06-24,22.66620
2020-06-25,22.79630
2020-06-26,22.97150
2020-06-29,23.13250
2020-06-30,23.08930
2020-07-01,22.80780
2020-07-02,22.52250
2020-07-03,22.41470
2020-07-06,22.28080
2020-07-07,22.62130
2020-07-08,22.82250
2020-07-09,22.69450
2020-07-10,22.53420
2020-07-13,22.46330
2020-07-14,22.61730
2020-07-15,22.36470
2020-07-16,22.30320
2020-07-17,22.48970
2020-07-20,22.62780
2020-07-21,22.35970
2020-07-22,22.25100
2020-07-23,22.36270
2020-07-24,22.38420
2020-07-27,22.02750
2020-07-28,21.96150
2020-07-29,21.99070
2020-07-30,22.17270
2020-07-31,22.20120
2020-08-03,22.61400
2020-08-04,22.78450
2020-08-05,22.40680
2020-08-06,22.36520
2020-08-07,22.48920
2020-08-10,22.48500
2020-08-11,22.34900
2020-08-12,22.34570
2020-08-13,22.26280
2020-08-14,22.03130
2020-08-17,22.05700
2020-08-18,22.15350
2020-08-19,22.05270
2020-08-20,22.17600
2020-08-21,22.03620
2020-08-24,21.98400
2020-08-25,21.97230
2020-08-26,21.92020
2020-08-27,22.11680
2020-08-28,21.86020
2020-08-31,21.88800
2020-09-01,21.74450
2020-09-02,21.83930
2020-09-03,21.63830
2020-09-04,21.61150
2020-09-07,21.58870
2020-09-08,21.71380
2020-09-09,21.53770
2020-09-10,21.27730
2020-09-11,21.32100
2020-09-14,21.07280
2020-09-15,21.06920
2020-09-17,20.98500
2020-09-18,20.96970
2020-09-21,21.50500
2020-09-22,21.56820
2020-09-23,22.08970
2020-09-24,22.36780
2020-09-25,22.44020
2020-09-28,22.45730
2020-09-29,22.35980
2020-09-30,22.14380
2020-10-01,21.95620
2020-10-02,21.70250
2020-10-05,21.39600
2020-10-06,21.45070
2020-10-07,21.49300
2020-10-08,21.43180
2020-10-09,21.18220
2020-10-12,21.21830
2020-10-13,21.36770
2020-10-14,21.29980
2020-10-15,21.38320
2020-10-16,21.17650
2020-10-19,21.13420
2020-10-20,21.09020
2020-10-21,21.06400
2020-10-22,21.03000
2020-10-23,20.92050
2020-10-26,20.98180
2020-10-27,20.87980
2020-10-28,21.16480
2020-10-29,21.37700
2020-10-30,21.25080
2020-11-03,21.15550
2020-11-04,21.03450
2020-11-05,20.76120
2020-11-06,20.62000
2020-11-09,20.36000
2020-11-10,20.40180
2020-11-11,20.57720
2020-11-12,20.53030
2020-11-13,20.48330
2020-11-17,20.32120
2020-11-18,20.23880
2020-11-19,20.18580
2020-11-20,20.11720
2020-11-23,20.10120
2020-11-24,20.05770
2020-11-25,20.04650
2020-11-26,20.04670
2020-11-27,20.07770
2020-11-30,20.13980
2020-12-01,20.05080
2020-12-02,20.04970
2020-12-03,19.90830
2020-12-04,19.78380
2020-12-07,19.82130
2020-12-08,19.75370
2020-12-09,19.83680
2020-12-10,19.95720
2020-12-11,20.10750
2020-12-14,20.17780
2020-12-15,20.11130
2020-12-16,19.95130
2020-12-17,19.81730
2020-12-18,19.94870
2020-12-21,20.09050
2020-12-22,20.05620
2020-12-23,20.11750
2020-12-24,19.85170
2020-12-28,20.04770
2020-12-29,19.94870
2020-12-30,19.93520
2020-12-31,19.90870
2021-01-04,19.84570
2021-01-05,19.94370
2021-01-06,19.72500
2021-01-07,19.91000
2021-01-08,19.97050
2021-01-11,20.11300
2021-01-12,19.93730
2021-01-13,19.79350
2021-01-14,19.77930
2021-01-15,19.78750
2021-01-18,19.75700
2021-01-19,19.67880
2021-01-20,19.57930
2021-01-21,19.73930
2021-01-22,19.98330
2021-01-25,20.15980
2021-01-26,20.01520
2021-01-27,20.21680
2021-01-28,20.26970
2021-01-29,20.22480
2021-02-02,20.17220
2021-02-03,20.19530
2021-02-04,20.44350
2021-02-05,20.13880
2021-02-08,20.12270
2021-02-09,20.09130
2021-02-10,20.05880
2021-02-11,19.95350
2021-02-12,19.96220
2021-02-15,19.95180
2021-02-16,20.20230
2021-02-17,20.22570
2021-02-18,20.41650
2021-02-19,20.42220
2021-02-22,20.67830
2021-02-23,20.58330
2021-02-24,20.47520
2021-02-25,20.85230
2021-02-26,20.93900
2021-03-01,20.61230
2021-03-02,20.69030
2021-03-03,20.89570
2021-03-04,20.84980
2021-03-05,21.26350
2021-03-08,21.41770
2021-03-09,21.25750
2021-03-10,20.98530
2021-03-11,20.71330
2021-03-12,20.76370
2021-03-16,20.57530
2021-03-17,20.68280
2021-03-18,20.44150
2021-03-19,20.48230
2021-03-22,20.57880
2021-03-23,20.64080
2021-03-24,20.78820
2021-03-25,20.76620
2021-03-26,20.56770
2021-03-29,20.60470
2021-03-30,20.60250
2021-03-31,20.44000
2021-04-05,20.24830
2021-04-06,20.16120
2021-04-07,20.17650
2021-04-08,20.08900
2021-04-09,20.16300
2021-04-12,20.09500
2021-04-13,20.07350
2021-04-14,20.05830
2021-04-15,19.92700
2021-04-16,19.91580
2021-04-19,19.81450
2021-04-20,19.88770
2021-04-21,19.87400
2021-04-22,19.88650
2021-04-23,19.86950
2021-04-26,19.83620
2021-04-27,19.97850
2021-04-28,19.97120
2021-04-29,20.09780
2021-04-30,20.18220
2021-05-03,20.19020
2021-05-04,20.22350
2021-05-05,20.20770
2021-05-06,20.18380
2021-05-07,19.92230
2021-05-10,19.88600
2021-05-11,19.88480
2021-05-12,20.09400
2021-05-13,20.04950
2021-05-14,19.84870
2021-05-17,19.80280
2021-05-18,19.83130
2021-05-19,19.81430
2021-05-20,19.88100
2021-05-21,19.95100
2021-05-24,19.87200
2021-05-25,19.89030
2021-05-26,19.87830
2021-05-27,19.94870
2021-05-28,19.94420
2021-05-31,19.92130
2021-06-01,19.89270
2021-06-02,19.92770
2021-06-03,20.06050
2021-06-04,19.93280
2021-06-07,19.79700
2021-06-08,19.77280
2021-06-09,19.68970
2021-06-10,19.70020
2021-06-11,19.88230
2021-06-14,19.90650
2021-06-15,20.12350
2021-06-16,20.05880
2021-06-17,20.42920
2021-06-18,20.70020
2021-06-21,20.60000
2021-06-22,20.57120
2021-06-23,20.25050
2021-06-24,20.04830
2021-06-25,19.79300
2021-06-28,19.80270
2021-06-29,19.81570
2021-06-30,19.90620
2021-07-01,20.03680
2021-07-02,19.88170
2021-07-05,19.85320
2021-07-06,19.96580
2021-07-07,19.99150
2021-07-08,20.00700
2021-07-09,19.88000
2021-07-12,19.85770
2021-07-13,19.99880
2021-07-14,19.89920
2021-07-15,19.94120
2021-07-16,19.85370
2021-07-19,20.00000
2021-07-20,20.13480
2021-07-21,20.19070
2021-07-22,20.18120
2021-07-23,20.02380
2021-07-26,20.02450
2021-07-27,19.97700
2021-07-28,19.95350
2021-07-29,19.84480
2021-07-30,19.84550
2021-08-02,19.85200
2021-08-03,19.89200
2021-08-04,19.95470
2021-08-05,19.92930
2021-08-06,20.00370
2021-08-09,20.06480
2021-08-10,20.10380
2021-08-11,19.95300
2021-08-12,19.89070
2021-08-13,19.86030
2021-08-16,19.88630
2021-08-17,19.99120
2021-08-18,20.01070
2021-08-19,20.11750
2021-08-20,20.40200
2021-08-23,20.39070
2021-08-24,20.29670
2021-08-25,20.29330
2021-08-26,20.35220
2021-08-27,20.22930
2021-08-30,20.14030
2021-08-31,20.06050
2021-09-01,19.96150
2021-09-02,19.97030
2021-09-03,19.89920
2021-09-06,19.88780
2021-09-07,19.94400
2021-09-08,19.93830
2021-09-09,19.93180
2021-09-10,19.87170
2021-09-13,19.86770
2021-09-14,19.90350
2021-09-15,19.90030
2021-09-17,19.98530
2021-09-20,20.17350
2021-09-21,20.14380
2021-09-22,20.03280
2021-09-23,20.02800
2021-09-24,20.11180
2021-09-27,20.10520
2021-09-28,20.30600
2021-09-29,20.49770
2021-09-30,20.56230
2021-10-01,20.51030
2021-10-04,20.57470
2021-10-05,20.58180
2021-10-06,20.69470
2021-10-07,20.60400
2021-10-08,20.72930
2021-10-11,20.80170
2021-10-12,20.77670
2021-10-13,20.68270
2021-10-14,20.60750
2021-10-15,20.46720
2021-10-18,20.35870
2021-10-19,20.26470
2021-10-20,20.18500
2021-10-21,20.26430
2021-10-22,20.18370
2021-10-25,20.18970
2021-10-26,20.18880
2021-10-27,20.19300
2021-10-28,20.32550
2021-10-29,20.52970
2021-11-01,20.85980
2021-11-03,20.83520
