"date","Tasa objetivo","Inflación","Inflación esperada","Tasa real ex-ante","Tasa real ex-post"
2022-06-09,7,8.03266666666667,5.04733333333333,1.95266666666667,-1.03266666666667
2022-06-10,7,8.038,5.047,1.953,-1.038
2022-06-11,7,8.04333333333333,5.04666666666667,1.95333333333333,-1.04333333333333
2022-06-12,7,8.04866666666667,5.04633333333333,1.95366666666667,-1.04866666666667
2022-06-13,7,8.054,5.046,1.954,-1.054
2022-06-14,7,8.05933333333333,5.04566666666667,1.95433333333333,-1.05933333333333
2022-06-15,7,8.06466666666667,5.04533333333333,1.95466666666667,-1.06466666666667
2022-06-16,7,8.07,5.045,1.955,-1.07
2022-06-17,7,8.07533333333333,5.04466666666667,1.95533333333333,-1.07533333333333
2022-06-18,7,8.08066666666667,5.04433333333333,1.95566666666667,-1.08066666666667
2022-06-19,7,8.086,5.044,1.956,-1.086
2022-06-20,7,8.09133333333333,5.04366666666667,1.95633333333333,-1.09133333333333
2022-06-21,7,8.09666666666667,5.04333333333333,1.95666666666667,-1.09666666666667
2022-06-22,7,8.102,5.043,1.957,-1.102
2022-06-23,7,8.10733333333333,5.04266666666667,1.95733333333333,-1.10733333333333
2022-06-24,7.75,8.11266666666667,5.04233333333333,2.70766666666667,-0.362666666666668
2022-06-25,7.75,8.118,5.042,2.708,-0.368
2022-06-26,7.75,8.12333333333333,5.04166666666667,2.70833333333333,-0.373333333333333
2022-06-27,7.75,8.12866666666667,5.04133333333333,2.70866666666667,-0.378666666666668
2022-06-28,7.75,8.134,5.041,2.709,-0.384
2022-06-29,7.75,8.13933333333333,5.04066666666667,2.70933333333333,-0.389333333333333
2022-06-30,7.75,8.14466666666667,5.04033333333333,2.70966666666667,-0.394666666666668
2022-07-01,7.75,8.15,5.04,2.71,-0.4
2022-07-02,7.75,8.16774193548387,5.04032258064516,2.70967741935484,-0.417741935483871
2022-07-03,7.75,8.18548387096774,5.04064516129032,2.70935483870968,-0.435483870967742
2022-07-04,7.75,8.20322580645161,5.04096774193548,2.70903225806452,-0.453225806451613
2022-07-05,7.75,8.22096774193548,5.04129032258064,2.70870967741936,-0.470967741935484
2022-07-06,7.75,8.23870967741935,5.04161290322581,2.70838709677419,-0.488709677419354
2022-07-07,7.75,8.25645161290323,5.04193548387097,2.70806451612903,-0.506451612903225
2022-07-08,7.75,8.2741935483871,5.04225806451613,2.70774193548387,-0.524193548387096
2022-07-09,7.75,8.29193548387097,5.04258064516129,2.70741935483871,-0.541935483870969
2022-07-10,7.75,8.30967741935484,5.04290322580645,2.70709677419355,-0.55967741935484
2022-07-11,7.75,8.32741935483871,5.04322580645161,2.70677419354839,-0.57741935483871
2022-07-12,7.75,8.34516129032258,5.04354838709677,2.70645161290323,-0.595161290322581
2022-07-13,7.75,8.36290322580645,5.04387096774194,2.70612903225806,-0.612903225806452
2022-07-14,7.75,8.38064516129032,5.0441935483871,2.7058064516129,-0.630645161290323
2022-07-15,7.75,8.39838709677419,5.04451612903226,2.70548387096774,-0.648387096774194
2022-07-16,7.75,8.41612903225806,5.04483870967742,2.70516129032258,-0.666129032258064
2022-07-17,7.75,8.43387096774194,5.04516129032258,2.70483870967742,-0.683870967741935
2022-07-18,7.75,8.45161290322581,5.04548387096774,2.70451612903226,-0.701612903225806
2022-07-19,7.75,8.46935483870968,5.0458064516129,2.7041935483871,-0.719354838709677
2022-07-20,7.75,8.48709677419355,5.04612903225806,2.70387096774194,-0.737096774193548
2022-07-21,7.75,8.50483870967742,5.04645161290323,2.70354838709677,-0.754838709677419
2022-07-22,7.75,8.52258064516129,5.04677419354839,2.70322580645161,-0.772580645161289
2022-07-23,7.75,8.54032258064516,5.04709677419355,2.70290322580645,-0.79032258064516
2022-07-24,7.75,8.55806451612903,5.04741935483871,2.70258064516129,-0.808064516129033
2022-07-25,7.75,8.5758064516129,5.04774193548387,2.70225806451613,-0.825806451612904
2022-07-26,7.75,8.59354838709677,5.04806451612903,2.70193548387097,-0.843548387096774
2022-07-27,7.75,8.61129032258065,5.04838709677419,2.70161290322581,-0.861290322580645
2022-07-28,7.75,8.62903225806452,5.04870967741935,2.70129032258065,-0.879032258064516
